pheno.id,strain,sex,batch,difference
M1,CC001,F,6,58.56666667
M2,CC001,M,11,2.8585
M3,CC001,F,13,31.88266667
M4,CC001,M,15,32.80616667
M5,CC002,F,7,79.1015
M6,CC002,M,16,91.79883333
M7,CC003,F,8,53.04683333
M8,CC003,M,9,92.47066667
M9,CC003,F,12,70.29033333
M10,CC003,M,16,68.95516667
M11,CC004,M,1,96.08483333
M12,CC004,F,5,92.56633333
M13,CC004,M,7,87.23766667
M14,CC004,F,12,85.586
M15,CC005,F,1,4.404916667
M16,CC005,F,14,7.979166667
M17,CC005,M,15,2.293083333
M18,CC005,M,16,8.739
M19,CC006,M,1,71.89983333
M20,CC006,F,11,-9.535666667
M21,CC006,M,13,58.41775
M22,CC006,F,16,100.738
M23,CC007,M,5,58.58633333
M24,CC007,F,10,63.05008333
M25,CC007,M,11,-13.01783333
M26,CC007,F,14,19.06966667
M27,CC008,F,3,10.86466667
M28,CC008,F,8,33.37066667
M29,CC008,M,9,8.530583333
M30,CC010,M,16,114.465
M31,CC011,F,11,39.20666667
M32,CC011,F,17,29.40616667
M33,CC012,M,4,21.55066667
M34,CC012,M,6,0.547166667
M35,CC012,F,7,-16.01766667
M36,CC012,F,11,4.454
M37,CC013,F,2,-1.206916667
M38,CC013,M,4,2.903666667
M39,CC013,M,14,64.17433333
M40,CC013,F,15,81.27733333
M41,CC015,M,8,56.09958333
M42,CC015,F,9,8.574583333
M43,CC015,F,14,24.75933333
M44,CC015,M,15,28.094
M45,CC016,F,2,63.47183333
M46,CC016,M,4,-74.158
M47,CC016,F,6,88.10116667
M48,CC016,M,7,29.12433333
M49,CC017,F,6,-6.622166667
M50,CC017,M,7,-9.122166667
M51,CC017,F,13,11.32966667
M52,CC019,F,1,62.65066667
M53,CC019,F,7,38.8845
M54,CC019,M,11,3.082166667
M55,CC019,M,13,26.41166667
M56,CC021,F,2,-42.38416667
M57,CC021,M,3,40.75816667
M58,CC021,F,6,19.204
M59,CC021,M,11,23.76266667
M60,CC021,M,15,-7.609166667
M61,CC021,M,16,45.61033333
M62,CC021,F,17,31.51233333
M63,CC021,F,17,34.68958333
M64,CC023,M,5,49.92666667
M65,CC023,M,8,30.62516667
M66,CC024,M,1,24.66233333
M67,CC024,F,10,5.1365
M68,CC024,F,13,27.182
M69,CC024,M,15,30.62641667
M70,CC025,F,1,55.28583333
M71,CC025,M,3,9.296333333
M72,CC025,M,9,37.08933333
M73,CC025,F,12,0.09925
M74,CC026,M,1,3.662666667
M75,CC026,F,7,8.757666667
M76,CC026,M,10,-1.782833333
M77,CC026,F,13,1.343166667
M78,CC026,M,14,-5.361
M79,CC026,F,16,23.29516667
M80,CC026,F,17,28.4365
M81,CC027,M,3,-51.75883333
M82,CC027,F,12,30.31633333
M83,CC027,M,13,0.7685
M84,CC027,F,14,60.39233333
M85,CC029,F,3,41.19916667
M86,CC029,M,5,34.27316667
M87,CC029,F,8,24.04466667
M88,CC029,M,16,10.21733333
M89,CC030,M,2,-0.293166667
M90,CC030,F,3,13.15366667
M91,CC030,M,6,34.979
M92,CC030,F,9,14.551
M93,CC031,F,7,75.75725
M94,CC031,M,10,71.72666667
M95,CC031,F,11,34.631
M96,CC031,M,13,69.48933333
M97,CC032,M,4,43.14566667
M98,CC032,M,6,45.973
M99,CC032,F,8,64.05966667
M100,CC032,F,10,61.06266667
M101,CC033,M,4,40.84966667
M102,CC033,F,6,-7.929166667
M103,CC033,M,8,34.80066667
M104,CC033,F,14,10.66
M105,CC035,M,2,33.737
M106,CC035,F,4,57.41666667
M107,CC035,F,5,89.21533333
M108,CC035,M,8,91.12166667
M109,CC036,M,1,84.79116667
M110,CC036,F,3,103.5835
M111,CC036,F,5,86.41366667
M112,CC036,M,9,111.714
M113,CC037,F,1,-7.78075
M114,CC037,M,4,1.116
M115,CC037,M,8,11.33375
M116,CC037,F,10,56.921
M117,CC038,M,1,39.215
M118,CC038,F,4,4.3425
M119,CC038,M,13,27.269
M120,CC038,F,14,0.072083333
M121,CC039,F,2,8.53
M122,CC039,M,4,24.70066667
M123,CC039,M,8,119.1003333
M124,CC039,F,10,-15.50983333
M125,CC040,F,5,-58.91066667
M126,CC040,M,8,41.95733333
M127,CC040,M,9,-36.1265
M128,CC040,F,11,151.0588333
M129,CC041,M,1,-3.7625
M130,CC041,F,4,0.72225
M131,CC041,M,5,-10.87066667
M132,CC041,F,7,21.832
M133,CC042,F,1,37.725
M134,CC042,F,10,96.98633333
M135,CC042,M,11,93.43566667
M136,CC042,M,13,167.2035
M137,CC043,F,6,38.226
M138,CC043,M,10,32.97366667
M139,CC043,F,14,35.901
M140,CC043,M,16,38.94566667
M141,CC044,M,2,34.81966667
M142,CC044,M,3,46.8535
M143,CC044,F,6,27.632
M144,CC044,F,7,35.61133333
M145,CC045,F,1,2.600833333
M146,CC045,M,4,30.721
M147,CC045,M,5,32.187
M148,CC045,F,7,34.09016667
M149,CC046,M,9,37.39391667
M150,CC046,M,12,53.247
M151,CC046,F,6,21.455
M152,CC046,F,14,19.78133333
M153,CC049,F,2,76.69766667
M154,CC049,M,4,106.535
M155,CC049,M,7,67.24216667
M156,CC049,F,12,79.80933333
M157,CC051,F,4,-21.164
M158,CC051,F,5,11.916
M159,CC051,M,10,20.37183333
M160,CC053,F,6,71.27733333
M161,CC053,M,7,20.66533333
M162,CC053,M,10,73.2885
M163,CC053,F,12,78.513
M164,CC055,M,12,-7.855
M165,CC055,M,14,45.739
M166,CC055,F,15,51.767
M167,CC055,M,16,11.77183333
M168,CC055,F,17,20.65466667
M169,CC057,F,5,12.55766667
M170,CC057,F,10,10.4125
M171,CC057,M,12,10.61716667
M172,CC057,M,13,-2.778666667
M173,CC058,F,5,85.60583333
M174,CC058,M,14,94.6325
M175,CC060,M,2,1.995
M176,CC060,M,3,72.515
M177,CC060,M,6,90.89033333
M178,CC061,M,3,34.68583333
M179,CC061,F,9,-9.4195
M180,CC061,F,14,25.6245
M181,CC061,M,15,29.94933333
M182,CC062,M,4,33.955
M183,CC062,F,6,-16.21108333
M184,CC062,F,13,1.844166667
M185,CC062,M,15,52.11116667
M186,CC062,F,16,8.6045
M187,CC062,F,17,20.82133333
M188,CC071,M,8,119.6323333
M189,CC071,F,11,131.956
M190,CC072,F,2,5.840333333
M191,CC072,M,15,15.1825
M192,CC072,M,15,3.046333333
M193,CC072,F,16,-8.174083333
M194,CC074,M,13,86.12966667
M195,CC074,F,14,95.5385
M196,CC074,M,15,62.21
M197,CC074,F,17,62.498
M198,CC078,F,5,-0.712666667
M199,CC078,F,11,14.44183333
M200,CC079,F,2,68.265
M201,CC080,M,2,10.16666667
M202,CC080,F,3,7.312833333
M203,CC080,F,5,46.00966667
M204,CC080,M,9,31.17833333
M205,CC081,F,3,33.64333333
M206,CC081,M,5,8.922166667
M207,CC081,M,8,26.45525
M208,CC081,F,13,17.52908333
M209,CC082,M,2,28.3
M210,CC082,F,4,50.827
M211,CC082,F,12,23.36475
M212,CC082,M,13,-7.681